Rank,Player,Team,Position,Age,Speed
292," Suarez, Eugenio",,3B,26,26.7
293," Sogard, Eric",,2B,31,26.7
294," Robinson, Drew",,3B,25,26.7
295," Canha, Mark",,RF,28,26.7
296," Longoria, Evan",,3B,32,26.7
297," Anderson, Brian",,3B,24,26.7
298," Healy, Ryon",,DH,25,26.7
299," McCann, James",,C,27,26.7
300," Granderson, Curtis",,CF,36,26.7
301," Phillips, Brandon",,2B,36,26.7
302," Mauer, Joe",,1B,34,26.7
303," Belt, Brandon",,1B,29,26.7
304," Jay, Jon",,CF,32,26.7
305," Arenado, Nolan",,3B,26,26.7
306," Freeman, Freddie",,1B,28,26.7
307," Profar, Jurickson",,LF,24,26.7
308," Santana, Carlos",,1B,31,26.6
309," Gordon, Alex",,LF,33,26.6
310," Motter, Taylor",,SS,28,26.6
311," Rodriguez, Sean",,3B,32,26.6
312," Tomas, Yasmany",,LF,27,26.6
313," Nava, Daniel",,LF,34,26.6
314," Gennett, Scooter",,2B,27,26.6
315," Travis, Sam",,1B,24,26.6
316," Pearce, Steve",,LF,34,26.6
317," Cozart, Zack",,SS,32,26.6
318," Norris, Derek",,C,28,26.6
319," Winker, Jesse",,RF,24,26.6
320," Gonzalez, Carlos",,RF,32,26.6
321," Romine, Austin",,C,29,26.6
322," La Stella, Tommy",,2B,28,26.6
323," Vargas, Kennys",,DH,27,26.6
324," Ramirez, Hanley",,DH,34,26.6
325," Moss, Brandon",,DH,34,26.6
326," Stassi, Brock",,1B,28,26.6
327," Brantley, Michael",,LF,30,26.6
328," Seager, Kyle",,3B,30,26.6
329," Carpenter, Matt",,1B,32,26.6
330," Plawecki, Kevin",,C,26,26.5
331," Franco, Maikel",,3B,25,26.5
332," Garcia, Adonis",,3B,32,26.5
333," Murphy, Daniel",,2B,32,26.5
334," Gonzalez, Marwin",,LF,28,26.5
335," Frazier, Todd",,3B,31,26.5
336," Walker, Neil",,2B,32,26.5
337," Hedges, Austin",,C,25,26.5
338," Solarte, Yangervis",,2B,30,26.5
339," Suzuki, Ichiro",,RF,44,26.5
340," Bruce, Jay",,RF,30,26.5
341," Ruiz, Rio",,3B,23,26.4
342," Parra, Gerardo",,LF,30,26.4
343," Gomes, Yan",,C,30,26.4
344," Davis, Khris",,LF,30,26.4
345," Joyce, Matt",,RF,33,26.4
346," Kendrick, Howie",,LF,34,26.4
347," Carter, Chris",,1B,31,26.4
348," Smith, Seth",,RF,35,26.4
349," Wolters, Tony",,C,25,26.4
350," Schwarber, Kyle",,LF,24,26.4
351," Plouffe, Trevor",,3B,31,26.4
352," Crawford, Brandon",,SS,30,26.3
353," Lucroy, Jonathan",,C,31,26.3
354," Markakis, Nick",,RF,34,26.3
355," Turner, Justin",,3B,33,26.3
356," Moreland, Mitch",,1B,32,26.3
357," Smith, Kevan",,C,29,26.3
358," Trumbo, Mark",,DH,31,26.3
359," Sanchez, Gary",,C,25,26.3
360," Torrens, Luis",,C,21,26.3
361," Rivera, T.J.",,3B,29,26.2
362," Garneau, Dustin",,C,30,26.2
363," Werth, Jayson",,LF,38,26.2
364," Pedroia, Dustin",,2B,34,26.2
365," Kim, Hyun Soo",,LF,29,26.2
366," Blanco, Andres",,2B,33,26.2
367," Phegley, Josh",,C,29,26.2
368," Freese, David",,3B,34,26.2
369," Gillaspie, Conor",,3B,30,26.1
370," Hardy, J.J.",,SS,35,26.1
371," Martin, Russell",,C,34,26.1
372," Moore, Tyler",,1B,30,26.1
373," Prado, Martin",,3B,34,26.1
374," Suzuki, Kurt",,C,34,26.1
375," Cabrera, Melky",,LF,33,26.1
376," Navarro, Efren",,1B,31,26.1
377," Bird, Greg",,1B,25,26.1
378," Cron, C.J.",,1B,27,26.1
379," Vogt, Stephen",,C,33,26.1
380," Adams, Matt",,1B,29,26.1
381," Gattis, Evan",,C,31,26
382," Zunino, Mike",,C,26,26
383," Stewart, Chris",,C,35,26
384," Perez, Salvador",,C,27,26
385," Holliday, Matt",,DH,37,26
386," Hoskins, Rhys",,LF,24,26
387," Voit, Luke",,1B,26,26
388," Maile, Luke",,C,26,25.9
389," Beltran, Carlos",,DH,40,26
390," Shaw, Travis",,3B,27,25.9
391," Drew, Stephen",,SS,34,25.9
392," Castro, Jason",,C,30,25.9
393," Lind, Adam",,1B,34,25.9
394," Cano, Robinson",,2B,35,25.9
395," Urshela, Gio",,3B,26,25.9
396," Cruz, Nelson",,DH,37,25.9
397," Avila, Alex",,C,30,25.9
398," Pina, Manny",,C,30,25.8
399," Smith, Dominic",,1B,22,25.8
400," Headley, Chase",,3B,33,25.8
401," Reynolds, Mark",,1B,34,25.8
402," Cervelli, Francisco",,C,31,25.8
403," Joseph, Caleb",,C,31,25.8
404," Mesoraco, Devin",,C,29,25.8
405," Iannetta, Chris",,C,34,25.7
406," Cabrera, Asdrubal",,SS,32,25.7
407," Flowers, Tyler",,C,31,25.7
408," Rizzo, Anthony",,1B,28,25.7
409," Flores, Wilmer",,3B,26,25.7
410," Hundley, Nick",,C,34,25.7
411," Perez, Roberto",,C,29,25.7
412," Joseph, Tommy",,1B,26,25.7
413," Votto, Joey",,1B,34,25.7
414," Duda, Lucas",,1B,31,25.6
415," Barnhart, Tucker",,C,26,25.7
416," Kemp, Matt",,LF,33,25.6
417," Posey, Buster",,C,30,25.6
418," Bautista, Jose",,RF,37,25.6
419," Encarnacion, Edwin",,DH,34,25.6
420," Vazquez, Christian",,C,27,25.6
421," Butera, Drew",,C,34,25.5
422," Cabrera, Miguel",,1B,34,25.5
423," Escobar, Yunel",,3B,35,25.5
424," Narvaez, Omar",,C,25,25.5
425," Davidson, Matt",,DH,26,25.4
426," Gyorko, Jedd",,3B,29,25.4
427," Sandoval, Pablo",,3B,31,25.4
428," Mathis, Jeff",,C,34,25.4
429," Moustakas, Mike",,3B,29,25.4
430," Rivera, Rene",,C,34,25.4
431," Maldonado, Martin",,C,31,25.4
432," Chirinos, Robinson",,C,33,25.3
433," Alonso, Yonder",,1B,30,25.3
434," Lobaton, Jose",,C,33,25.3
435," Tulowitzki, Troy",,SS,33,25.2
436," Napoli, Mike",,1B,36,25.2
437," Ruiz, Carlos",,C,38,25.2
438," Beltre, Adrian",,3B,38,25.2
439," Cuthbert, Cheslor",,3B,25,25.1
440," Gimenez, Chris",,C,35,25.1
441," Castillo, Welington",,C,30,25.1
442," Nicholas, Brett",,C,29,25.1
443," Valbuena, Luis",,3B,32,25.1
444," Davis, Chris",,1B,31,25
